#{"t_start": 1778245835.3498886, "env_id": "Ant-v5"}
r,l,t
-174.429787,127,0.536403
-20.417998,25,0.602242
-95.333716,68,0.708281
-11.404323,23,0.724074
-162.53251,111,0.791533
-13.314031,18,0.801473
-108.269631,47,0.831389
-10.552506,22,0.847689
-27.557035,30,0.909854
-17.958488,19,0.925308
-78.430518,88,1.008527
-22.419774,27,1.035302
-18.355167,14,1.065038
-78.700979,52,1.141381
-43.150283,27,1.161196
-75.784092,62,1.246592
-23.270265,20,1.297593
-28.253444,26,1.358101
-40.57194,55,1.456336
-68.986803,46,1.494418
-15.239203,8,1.502134
-20.744726,12,1.51009
-43.378227,53,1.547554
-105.806409,84,1.610132
-10.039585,12,1.619527
-41.214322,29,1.638023
-26.051554,65,1.740463
-11.420846,19,1.763327
-93.795749,57,1.909315
-15.467266,34,1.99407
-34.567613,38,2.021538
-23.659755,29,2.051107
-1058.95951,1000,3.367724
-20.774553,22,3.387038
-54.806253,37,3.410289
-17.387795,10,3.418312
-5.180506,9,3.424481
-97.34916,67,3.474497
-1079.087232,1000,4.226903
-59.458636,62,4.267877
-1.720887,41,4.294634
-179.53765,130,4.437504
-1025.933775,1000,5.711024
-166.733851,132,5.853399
-35.159942,22,5.894967
-11.676278,12,5.903937
-6.35824,40,5.930702
-15.24773,20,5.943798
-80.370902,76,6.033147
-86.371993,48,6.124711
-66.667066,45,6.152449
-18.654279,24,6.169113
-22.113896,20,6.18014
-114.175794,81,6.228714
-78.567494,64,6.268719
-1048.210674,1000,7.594826
-37.322897,59,7.64191
-9.532915,29,7.662097
-5.244412,17,7.674905
-15.684752,18,7.704047
-28.523558,31,7.726176
-125.801738,131,8.015115
-27.675544,18,8.065245
-248.455796,142,8.263815
-1036.856271,1000,8.93591
-7.650424,12,8.943108
-13.985911,9,8.949486
-32.203718,21,8.965195
-977.425125,1000,10.57851
-46.471311,88,10.736972
-76.677906,62,10.777594
-109.955039,80,10.831511
-19.075924,28,10.853885
-13.865972,13,10.861561
-50.176109,46,10.890878
-14.008217,13,10.898632
-973.17674,1000,11.560096
-49.484501,50,11.589259
-16.859541,15,11.598154
-990.606201,1000,13.044954
-77.667377,82,13.095073
-12.110445,27,13.109947
-69.673612,50,13.14454
-15.131851,15,13.15469
-47.420781,60,13.19082
-104.679573,72,13.232342
-61.62027,41,13.257353
-291.2314,336,13.462519
-18.408364,17,13.472337
-16.167051,13,13.480068
-101.534057,90,13.536681
-42.669711,77,13.580332
-32.608834,23,13.595177
-7.810989,10,13.600749
-76.720187,88,13.65687
-943.127511,1000,15.005805
-25.389055,23,15.022316
-74.281139,68,15.175582
-19.364762,16,15.215922
-39.264525,70,15.325713
-25.581967,50,15.362517
-41.234699,44,15.388562
-108.466746,107,15.620221
-28.396844,29,15.6714
-42.4498,31,15.692538
-155.149913,205,15.843382
-13.340046,43,15.873181
-38.241478,24,15.88814
-34.94105,26,15.902754
-113.03393,140,15.987998
-62.197492,41,16.019485
-62.659287,66,16.126894
-928.623489,1000,17.428309
-27.668457,28,17.446138
-186.137513,218,17.626164
-9.808677,8,17.631124
-15.008122,30,17.65759
-107.955127,109,17.721871
-88.591312,92,17.776291
-128.93254,87,17.842657
-57.875075,60,17.989104
-45.155112,47,18.03596
-57.432344,35,18.058975
-155.428676,114,18.267867
-22.415534,13,18.301427
-20.672981,25,18.319215
-129.64323,95,18.377465
-37.511898,33,18.398861
-16.834573,68,18.43869
-60.125567,27,18.460796
-39.937417,25,18.474792
-120.097138,84,18.529276
-965.989115,1000,19.780478
-11.975916,16,19.792869
-127.064521,160,19.912208
-22.614666,41,19.937172
-16.447365,16,19.946058
-19.956108,18,19.959118
-17.609579,11,19.965886
-49.67167,66,20.003257
-81.379026,75,20.049472
-27.526085,37,20.071188
-24.171029,55,20.103984
-23.493674,19,20.125382
-52.47734,33,20.211843
-18.775521,37,20.247324
-0.728583,10,20.254631
-30.363542,18,20.276378
9.864053,44,20.305805
-152.703295,154,20.40817
-30.91996,26,20.424572
-10.943389,11,20.430697
-34.017125,23,20.487596
-189.749377,220,21.300613
-39.690586,35,21.330985
-53.605064,79,21.401917
-97.684834,59,21.444044
-60.444233,52,21.531019
-17.831029,26,21.548934
-35.216558,30,21.568524
-75.353717,50,21.605326
-46.303399,26,21.624053
-43.002545,44,21.65378
-82.879856,42,21.692157
3.495196,23,21.707308
-9.140351,13,21.716652
-9.6334,12,21.725427
-34.714763,18,21.745489
-152.889467,103,21.816766
-62.747067,49,21.854875
-19.913959,14,21.863602
-23.993299,10,21.870885
-53.182017,58,21.970473
-64.719799,57,22.008251
-48.009253,80,22.057734
-100.95276,100,22.119948
-91.639833,56,22.209817
-80.059255,65,22.267574
-28.2194,17,22.277177
-19.684248,21,22.290587
-41.013997,65,22.328189
-46.562336,39,22.395188
-4.140683,10,22.422454
-118.064485,106,22.66634
-12.099196,18,22.676293
-48.3083,51,22.706515
-106.952505,87,22.757872
-55.943919,78,22.802492
4.629272,26,22.819505
-16.264085,16,22.828941
-19.217274,15,22.844396
-50.969568,54,22.991287
1.359381,43,23.097737
-64.015027,101,23.218189
-45.923812,44,23.250741
-30.903458,22,23.263859
-855.931459,1000,24.750024
-18.085955,14,24.758583
-808.309153,1000,25.536386
-8.809274,19,25.547168
-38.954663,23,25.562849
-35.597145,32,25.582404
-3.505425,35,25.602089
-43.555462,52,26.260465
-82.880251,67,26.30417
-18.631593,15,26.315603
-41.064478,39,26.345063
-26.997963,47,26.377762
-28.832402,21,26.393885
1.486216,21,26.408236
4.773677,25,26.425559
-19.287734,11,26.432856
-26.54929,42,26.461493
-44.73922,39,26.488206
-30.651315,93,26.551837
-12.302029,13,26.56
-31.305781,33,26.582884
-40.470659,34,26.604691
-24.757452,39,26.672381
-21.203254,21,26.709953
-27.644713,49,26.773671
-14.133597,11,26.801987
-72.897476,49,26.919084
-7.111147,30,26.990776
-65.733947,94,27.104007
-61.308749,41,27.13155
-110.470277,90,27.185426
-75.117754,107,27.437242
-933.621307,1000,28.724858
-9.976051,30,28.74481
-26.820498,43,28.774942
-44.048148,100,28.87479
-77.142996,73,28.944918
-75.430125,57,28.987005
-86.893519,74,29.041589
-41.670801,45,29.071828
-72.007164,42,29.100086
-56.722188,28,29.131353
-18.835278,18,29.157897
-44.598696,29,29.176504
-102.282746,63,29.220175
-26.058583,27,29.237477
-38.522153,38,29.263085
-40.775045,84,29.378332
-18.378084,11,29.387305
-10.215867,17,29.419632
-23.845926,46,29.471041
-12.842858,17,29.482041
-18.628897,23,29.495382
-20.660223,20,29.507263
-18.901865,17,29.519748
-29.370434,38,29.540915
-19.990348,20,29.566937
-939.930812,1000,30.193373
-30.474341,19,30.204394
-67.457026,147,30.957096
-27.938093,14,30.966011
-40.003934,45,30.996287
-34.28273,53,31.037874
-171.882295,133,31.271261
-15.617437,22,31.287658
-913.135017,1000,31.973859
-9.404313,14,31.983717
-42.582901,52,32.013527
-94.315945,113,32.096623
-32.996931,27,32.111524
-30.975095,52,32.142161
-64.250415,45,32.171336
-36.599162,32,32.191009
-965.819072,1000,33.532067
-36.5881,36,33.559274
-45.799931,57,33.596316
-21.333771,26,33.645619
-8.545295,15,33.684489
-30.725674,37,33.774885
-936.873656,1000,34.565228
-9.355113,13,34.572767
-176.442029,177,34.685715
0.438416,20,34.697279
-78.471371,51,35.289166
-25.676523,29,35.313524
10.788314,28,35.333921
-40.553393,47,35.366809
-34.114317,42,35.399975
-45.46027,45,35.43242
-182.286631,203,35.638657
-13.174944,38,35.674313
-50.312956,65,35.718546
-130.448999,99,35.785367
-6.339601,15,35.79514
-28.37211,38,35.836723
-52.015654,50,35.903586
-53.902013,23,35.923842
-102.355229,56,36.032504
-13.328541,10,36.040531
-12.827583,9,36.045915
-34.953977,33,36.117991
-152.01702,92,36.246205
-49.443514,81,36.330586
-36.379341,24,36.343945
-148.805573,128,36.432849
-17.892011,46,36.461068
-56.289828,44,36.490981
-47.4117,42,36.515579
-88.292703,130,36.593103
-26.704031,20,36.604701
-56.791851,38,36.628115
-169.743998,158,36.801592
-112.974884,85,36.864014
-60.440229,107,36.92974
-45.168557,48,36.966925
-131.597752,96,37.024164
-17.647047,15,37.033395
-88.309279,113,37.967034
5.792841,46,38.004195
-31.268461,50,38.04197
-140.063634,94,38.22901
-62.752445,58,38.268429
-31.999883,33,38.310882
-68.828113,69,38.408688
-44.00397,60,38.448979
-47.221375,43,38.472639
-2.536579,12,38.479275
-27.426242,27,38.496071
-55.154819,65,38.537155
-74.012096,73,38.58024
-12.406222,19,38.592501
-32.230702,23,38.60555
-19.147057,22,38.619884
-19.336623,21,38.632244
-11.728811,21,38.643589
-84.322261,82,38.699597
19.491692,38,38.722345
-22.129281,15,38.730463
-8.6564,10,38.736066
-225.324278,268,38.961921
-68.548068,66,38.999322
-21.032162,19,39.009717
-20.147763,38,39.032758
-38.509105,26,39.046899
-29.325038,30,39.065464
-30.6869,50,39.096098
-51.513266,67,39.137626
-23.037437,14,39.145341
-135.125271,108,39.208614
-27.950568,38,39.231057
4.150608,15,39.239626
-24.134167,51,39.268892
-23.870433,21,39.287838
-40.146676,52,39.328192
-833.573246,1000,40.748818
-26.549096,28,40.785326
-17.894201,15,40.795636
-49.747982,76,40.946805
-59.331173,46,41.013085
-9.634868,30,41.036903
-27.499268,24,41.052101
-97.059091,43,41.083018
-20.760247,27,41.098366
-35.427286,26,41.112865
-79.613365,73,41.16004
-862.250883,1000,42.432643
-10.028665,35,42.457559
-35.604809,38,42.483423
-22.158573,15,42.493044
1.804034,50,42.531458
-71.925954,58,42.575961
-56.661048,40,42.60324
-49.895351,46,42.634607
-28.317114,19,42.648976
-37.62095,41,42.675553
-36.282064,42,42.704399
-42.687856,33,42.734461
-7.597896,29,42.754974
-52.009732,52,42.796114
-79.170949,41,42.825396
-914.923533,1000,43.61727
-49.742204,43,43.64259
-86.069033,169,43.928029
-45.859936,41,44.029361
-7.831337,9,44.035602
-46.545496,34,44.065035
0.295805,12,44.096438
-84.25828,49,44.222628
-96.435403,44,44.333523
18.421709,25,45.534954
-44.653129,77,45.643793
-73.466153,55,45.786322
-22.804176,21,45.835861
-12.962092,20,45.888876
-74.7765,46,45.999723
-47.885937,33,46.059808
10.544356,18,46.106368
-51.288461,58,46.251471
-56.80839,118,46.470597
-4.792917,9,46.495717
-32.63832,125,46.603794
-8.777425,32,46.624602
-32.757593,25,46.68957
-83.263524,100,46.84379
-26.348639,28,46.861885
-93.295037,72,46.905426
-937.302193,1000,47.566654
-12.377974,64,47.603023
-25.084107,43,47.628728
-22.371074,14,47.636402
-90.897256,63,47.67709
-4.183245,24,48.271355
-35.198803,38,48.299016
-105.5376,87,48.401757
-34.966839,34,48.487655
-113.499538,105,48.66399
-36.670626,44,48.768749
-32.7946,37,48.805705
-37.372986,72,48.8866
-29.046309,19,48.903139
-18.470103,31,48.925232
-28.30966,44,48.987541
-69.158076,109,49.063905
-3.350747,23,49.088928
-26.993929,70,49.130453
-25.317409,59,49.165743
-19.914966,27,49.181996
-35.386016,23,49.194793
-3.983997,45,49.224999
-15.325417,33,49.24351
30.500517,29,49.261286
-868.756986,1000,49.896185
-66.894854,97,49.966884
-26.464964,22,50.593148
-75.682079,105,50.662166
-70.660315,55,50.764167
-48.124323,68,50.898804
-67.162201,50,50.995131
-8.425584,17,51.006098
-121.801773,155,51.273192
-803.258725,1000,51.917596
-58.705303,73,51.961581
-12.340233,16,51.970704
-25.310243,23,51.985185
-13.37187,33,52.007739
-22.092882,49,52.038307
-882.451923,1000,53.456651
-144.185688,163,53.722724
-7.368085,32,53.752706
-34.717395,37,53.774039
-40.01592,60,53.811618
-56.509609,29,53.837338
-17.176772,21,53.868634
-41.604574,71,54.044117
-40.884966,40,54.071287
-32.255587,19,54.084387
-14.98576,24,54.098415
-35.93039,57,54.139062
-14.131183,12,54.146204
-110.785039,79,54.195416
-22.656186,17,54.205142
-34.930978,33,54.225074
-29.318382,22,54.237341
-49.099426,61,54.277184
-13.379524,28,54.294668
-11.625893,10,54.308031
-28.939405,21,54.326702
-36.673016,34,54.348251
-53.772342,75,54.393779
-73.29682,67,54.475019
-159.253533,239,54.688083
-10.34492,12,54.694965
-6.305986,21,54.707332
-9.030663,46,54.734383
-880.279809,1000,56.017262
-105.875699,68,56.067517
-30.188742,50,56.128094
-18.636179,10,56.153646
-24.392362,57,56.303212
-11.89016,21,56.359514
-54.753198,56,56.504122
-18.392955,40,56.549282
-20.973982,19,56.560358
-43.929248,37,56.582896
-17.741031,24,56.596997
-43.507329,87,56.651044
-27.919869,53,56.689431
-26.019865,25,56.703911
10.285514,46,56.735395
-107.981145,134,56.823424
-178.61464,131,57.072467
-51.169997,92,57.149656
0.911287,20,57.163082
-16.022369,12,57.170979
-753.111662,1000,58.829982
-77.862167,62,58.918207
-18.838702,19,58.968467
-44.514196,38,59.017554
-76.906844,67,59.104909
-29.137947,20,59.144395
2.848842,15,59.17984
-40.856461,63,59.221474
-56.967323,111,59.296807
-4.103588,13,59.310932
-888.948793,1000,60.689721
-143.398074,155,60.785739
-21.561132,32,60.804518
-30.583366,72,60.849675
-838.436139,1000,61.558095
-109.760711,119,61.708749
-78.900052,77,61.755096
-62.050292,37,61.776373
-77.574343,70,61.822701
-45.526065,113,61.908733
-13.497973,80,61.961657
-19.929053,33,61.981731
-2.284566,17,61.99199
-41.761211,41,62.016452
-45.215011,31,62.6103
-22.186874,48,62.639558
-35.26764,31,62.659058
-808.090044,1000,63.593571
-106.5353,84,63.642317
-79.370609,64,63.712059
-5.215725,28,63.731361
-13.562326,35,63.752677
-41.870709,35,63.778567
-6.621278,14,63.788468
0.3023,29,63.804619
-24.197155,28,63.821625
-42.615867,65,63.860076
-58.423365,100,63.91989
-31.135023,26,63.970422
-8.157059,49,64.05107
-29.43368,55,64.084323
-21.34811,24,64.098865
-21.96987,19,64.115361
-4.132882,128,64.191645
-9.131359,13,64.199532
-27.062208,18,64.209613
-38.992691,31,64.228965
-9.566661,16,64.238195
-36.800566,58,64.275633
-120.072003,104,64.904722
-73.379149,94,65.00174
-68.01654,58,65.037028
-804.2008,1000,65.689766
-7.331596,11,65.696383
-104.97309,128,65.778707
-33.887712,25,65.795148
-138.960752,141,65.881043
-45.027363,69,65.931375
-64.523802,36,65.965737
-47.490129,71,66.007296
-6.689636,16,66.022667
-1.057726,14,66.031268
-57.267136,78,66.075939
-50.50583,74,66.121345
-13.114443,17,66.131676
-20.641226,32,66.152046
-8.972037,32,66.17086
-38.248916,48,66.200813
-102.058411,142,66.886223
-102.944459,128,67.061852
-12.390047,33,67.082526
-40.54099,33,67.101698
-817.258923,1000,67.729233
-46.507874,162,67.839338
-84.683774,59,67.877873
-36.406343,59,67.919886
-20.806098,28,67.947095
-27.870437,31,67.966558
-65.070943,95,68.024811
-4.150932,12,68.032373
-22.042958,60,68.076203
-123.234564,125,68.183304
-71.147888,89,68.237342
-27.679904,28,68.809549
-82.48535,93,68.866676
-6.707691,22,68.881949
-33.586318,63,68.920323
-23.588327,25,68.937255
-23.3796,34,68.965064
-56.166852,112,69.034595
-157.635449,104,69.119633
-12.498018,16,69.147934
-35.123176,27,69.164596
14.973516,21,69.177058
-5.388738,12,69.185611
-15.596325,44,69.210338
-20.328423,67,69.252369
-75.823595,72,69.296891
-7.036414,13,69.30995
-101.435062,129,69.401251
-9.101455,41,69.42571
-45.936282,53,69.461364
-10.09206,18,69.471481
-62.949103,76,69.527954
-11.308177,21,69.54214
-4.298863,14,69.553841
-51.104088,79,69.61381
-45.893071,49,69.737096
-31.462255,27,69.76686
-25.806207,43,69.793551
-69.184624,73,69.836756
-79.407956,58,69.881623
1.921034,54,69.912773
-25.221265,21,69.926215
-55.115602,44,69.954925
-9.386398,14,69.963504
-33.088395,21,69.975229
-16.739812,26,69.991908
-819.046457,1000,71.242755
-48.321908,129,71.325728
-20.936061,68,71.366808
-74.054218,44,71.394436
-19.464653,25,71.408711
-111.421264,57,71.442186
-51.061699,73,71.486345
-18.731326,46,71.511836
-56.873764,51,71.54223
-24.839267,20,71.556793
-10.841839,26,71.571294
-84.567621,117,71.644702
-107.119619,71,71.688312
-19.442227,15,71.697255
-20.180543,20,71.716386
-34.292701,31,71.733865
-40.534323,75,71.779216
-19.438714,73,71.824051
-44.253142,62,71.862725
-18.30685,30,71.8826
-9.072536,15,71.893524
-39.966456,37,71.915855
-28.148429,38,71.937041
-22.541912,27,71.976921
-63.810641,95,72.034463
-35.274727,28,72.051674
-14.486249,24,72.065502
-14.940847,51,72.095772
-40.796611,51,72.132955
-28.411411,20,72.144891
-95.401044,102,72.763646
-833.009834,1000,73.456874
-27.84818,33,73.475674
-17.960161,59,73.509425
-2.436437,23,73.524024
-79.221555,145,73.616608
-0.522526,66,73.657761
-22.140736,20,73.668833
-19.389487,19,73.679316
-15.94589,15,73.68973
-3.152338,50,73.719314
-11.865976,38,73.74048
-9.241566,14,73.749777
-34.174443,20,73.761789
-75.022751,86,73.811244
-5.852292,28,73.828446
-3.436313,68,73.867218
-19.374689,26,73.884764
-19.442898,25,73.907907
-44.240538,53,73.94973
-67.947247,98,74.017315
-24.329067,18,74.028097
-19.194159,19,74.068573
-64.993195,72,74.171062
-13.024394,18,74.182696
-23.326884,27,74.773944
-12.400902,16,74.785174
-8.193496,91,74.840584
-11.861794,13,74.849589
-46.517553,55,74.9915
-26.723392,70,75.175194
-8.419325,30,75.256157
-15.992356,51,75.385699
-56.562194,50,75.465014
-23.422493,20,75.476534
-19.472456,15,75.486659
-12.214012,30,75.50332
-48.732207,80,75.55707
-36.592032,72,75.59906
-16.485988,59,75.639287
-15.195307,17,75.652635
-42.292178,41,75.675728
-18.696033,21,75.689444
-8.288991,15,75.698013
-10.639985,12,75.705287
-46.791843,33,75.728318
-10.78539,16,75.737274
-27.208382,23,75.751755
-41.065643,59,75.786969
-30.38361,19,75.797701
-41.616834,55,75.830736
-10.492,40,75.854799
-30.118869,30,75.87203
-19.499806,27,75.891457
16.820807,37,75.916691
-1.884449,40,75.939829
-4.666995,31,75.963582
4.942161,48,75.991863
-46.369411,76,76.036767
-3.313983,9,76.041858
-57.549255,66,76.082877
-21.222524,33,76.101127
-36.340963,42,76.126032
-25.92068,18,76.136325
-35.819256,24,76.151629
-27.395031,41,76.242245
-37.809762,61,76.36859
-39.150084,53,76.407544
-10.656099,65,76.445821
-95.385674,123,76.520223
-33.450502,38,76.541657
-12.83367,20,76.554072
-740.770296,1000,77.992724
-9.989633,16,78.007302
-11.982166,25,78.05707
-13.037626,18,78.103932
-59.56979,48,78.2157
-37.115127,30,78.235586
-23.55644,26,78.273018
-17.896023,36,78.295216
-66.986737,68,78.353545
-3.973309,10,78.361029
-1.530325,14,78.369353
-16.18385,30,78.392223
-717.71492,1000,80.231342
-795.877565,1000,81.391355
-107.582558,129,81.528479
-36.587444,48,81.564748
-33.1671,52,81.597568
-6.797011,18,81.608247
-7.486739,28,81.628821
-72.405335,127,81.739832
-42.20499,63,81.868289
-30.031991,30,81.949445
-48.258317,90,82.125387
-37.062834,48,82.15734
-850.011864,1000,83.779529
-63.33536,55,83.815377
-33.298114,33,83.834257
-5.618365,25,83.850069
-3.724426,19,83.869888
-29.701742,41,83.898527
-19.203211,23,83.914637
-23.711566,46,83.94203
-10.818994,38,84.040748
-28.361874,36,84.063783
-1.778297,12,84.078516
-12.086205,22,84.095999
-54.332207,37,84.119383
-27.32883,27,84.135026
-70.776077,100,84.20171
-21.292463,45,84.228574
-12.463446,14,84.236309
-58.668751,47,84.266067
-18.0518,17,84.279643
-39.26935,26,84.294467
-44.994618,50,84.328979
-13.903665,18,84.340912
-96.227364,78,84.384863
-17.122166,26,84.400675
-17.736163,32,84.421319
-79.668608,44,84.446643
-20.83478,61,84.483086
-12.992534,19,84.496146
-44.559461,59,84.537474
-802.648475,1000,85.985441
-13.179541,16,85.996406
-32.910287,36,86.021149
-14.096877,17,86.033032
-2.272947,14,86.044368
-12.517273,14,86.05368
-44.52222,53,86.097701
-762.266962,1000,86.946963
-17.544745,29,87.017144
-12.33262,12,87.048199
-6.665097,42,87.079643
-92.299047,60,87.114204
-28.172799,66,87.767658
-91.477915,93,87.835405
-19.794334,36,87.898257
-70.01873,91,87.962345
-100.406163,97,88.139868
-8.578954,34,88.225367
-13.436161,44,88.300767
-785.07517,1000,89.05056
-15.354651,28,89.066969
-14.641902,17,89.078101
0.856704,19,89.08922
-48.165317,51,89.119174
-11.969635,14,89.127082
-0.363109,29,89.148141
-34.332658,20,89.160415
-7.629923,23,89.174854
-3.510881,12,89.182308
-12.85525,51,89.212026
-114.136506,100,89.268312
-31.708945,44,89.294624
-19.207363,20,89.31468
-121.975611,110,89.382688
-5.926826,10,89.388646
-22.213993,25,89.402613
-23.124469,44,89.429622
-52.450592,49,90.032787
-23.794878,21,90.048435
-25.479866,23,90.063065
-60.299574,77,90.135957
-18.57226,19,90.152472
-57.381646,37,90.179099
-720.935699,910,91.073328
-58.311873,98,91.129561
-25.186245,71,91.225958
-25.770114,28,91.243125
-34.744426,50,91.283434
-32.144218,27,91.299562
-26.901779,53,91.3309
-82.148375,67,91.369954
6.785149,16,91.38039
-78.037327,78,91.424787
-116.68401,108,91.488357
-5.888423,22,91.500363
-2.174845,14,91.509664
-31.574826,58,91.548178
-44.962011,38,91.574197
-18.256093,43,91.599059
-18.662295,29,91.616918
-32.047452,92,91.669544
-7.356991,14,91.679142
-29.628195,37,92.275564
-27.780972,47,92.309023
-12.233565,30,92.328365
-5.815008,40,92.359053
2.293239,34,92.389838
-20.087507,55,92.425901
-741.888129,1000,93.257502
-20.553837,18,93.268085
-100.710432,136,93.351007
7.727235,35,93.370154
-41.864636,59,93.406131
-125.809451,140,93.48938
-10.35919,53,93.519767
-68.424436,97,93.585935
-34.840911,39,93.609362
-19.518722,28,93.625202
-20.905717,18,93.635339
-19.196812,70,93.689559
-22.191053,37,93.778557
-60.431833,62,93.857947
-47.810566,41,94.504304
4.073886,14,94.515511
-26.14825,37,94.541331
-661.220602,1000,95.467189
-51.251834,49,95.498535
-70.935526,48,95.526681
-35.431985,62,95.569129
-410.020641,553,95.912738
-655.89934,1000,97.386233
-18.18246,72,97.502225
-17.000285,37,97.580892
-67.185203,70,97.626586
-123.973521,247,97.929325
-16.640846,27,97.94636
-16.692565,20,97.958872
-11.21334,9,97.971512
-20.227286,15,97.980702
-48.255831,40,98.004671
-28.919747,38,98.033758
-108.957121,86,98.089378
-17.936005,12,98.096136
-22.874977,17,98.107216
-53.915525,57,98.140105
9.319489,13,98.148115
10.288837,65,98.216705
-10.161014,19,98.22783
-689.012122,1000,99.541666
-4.193929,38,99.56769
-88.377617,53,99.607276
-11.136763,17,99.618612
-1.086844,17,99.65015
-27.174702,38,99.676035
-26.786874,53,99.714362
-26.513241,47,99.746947
-1.156655,14,99.755878
-28.621405,31,99.777216
-28.954438,43,99.806302
-16.178824,20,99.820395
-41.18081,45,99.855234
-50.841773,47,99.88779
-15.171358,13,99.895302
-7.533803,12,99.902136
-48.882833,69,99.94514
-0.996447,12,99.951777
-38.462122,41,99.976613
-69.997954,65,100.014684
-16.622579,55,100.05042
-12.667596,25,100.064895
-644.549959,1000,101.326859
-54.031992,100,101.395813
-30.974584,22,101.420906
-32.361566,29,101.443479
-9.129336,16,101.454577
19.793826,34,101.477836
-29.757142,33,101.499035
-51.062259,34,101.522269
-33.693264,65,101.565183
-666.492033,1000,102.261535
-0.881606,66,102.30026
-29.677024,53,102.331584
3.990518,33,102.379586
-6.123869,38,102.400164
-12.967864,12,102.408705
-21.38188,27,102.423751
-597.987526,1000,103.844286
-1.711374,14,103.867167
-36.367758,33,103.894609
-703.768625,1000,104.797616
-36.624338,34,104.81894
-7.247275,20,104.830311
-4.095371,12,104.844411
-18.290595,54,104.950607
-41.689399,36,104.972283
-87.266384,73,105.017414
-2.046277,124,105.639395
-52.136206,89,105.698641
-650.451174,1000,106.459931
-23.310786,32,106.481163
-64.219306,58,106.514507
-7.108043,19,106.525042
-8.11701,31,106.548405
-43.971535,54,106.580141
9.299273,85,106.630516
-21.828333,89,106.683496
-0.011843,20,106.694902
-6.843957,41,106.750678
6.180076,35,106.845699
-19.104961,37,106.92437
-19.798396,27,106.94182
-64.594066,71,106.988082
-10.908237,20,106.999163
-16.579207,24,107.014453
-23.830631,41,107.039809
-22.082056,25,107.054631
-621.904675,1000,108.272436
-8.336401,47,108.300007
-7.02168,12,108.310819
-31.242196,40,108.333371
